,,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012
Country/Territory,WBCode,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
AFGHANISTAN,AFG,-1.90,0.30,3.00,1.92,0.00,9.09,-2.04,0.30,3.00,0.48,0.00,7.18,-1.98,0.30,3.00,1.44,0.00,8.13,-1.57,0.20,5.00,6.73,1.91,12.44,-1.28,0.21,4.00,12.02,6.22,22.49,-1.25,0.19,6.00,13.94,6.22,21.53,-1.18,0.19,7.00,13.46,8.13,23.44,-1.19,0.16,8.00,13.94,8.61,21.53,-1.12,0.15,9.00,16.35,9.57,24.40,-1.24,0.15,9.00,13.46,8.13,20.10,-1.46,0.15,9.00,8.53,4.25,13.21,-1.48,0.15,9.00,7.58,4.25,13.68,-1.41,0.15,9.00,9.39,4.67,14.02,-1.32,0.14,10,11,6,17
ALBANIA,ALB,-0.76,0.24,4.00,24.52,14.35,38.28,-0.45,0.26,4.00,36.06,22.49,49.76,-0.32,0.21,5.00,40.38,27.75,50.24,-0.04,0.18,6.00,47.60,41.15,54.55,0.06,0.17,7.00,48.56,40.19,57.89,0.03,0.18,8.00,50.48,41.15,58.85,0.03,0.18,10.00,52.88,39.71,59.33,0.05,0.14,12.00,49.52,42.58,56.46,0.09,0.14,12.00,51.44,44.98,56.94,0.16,0.14,12.00,53.85,46.41,58.85,0.13,0.14,12.00,53.55,44.81,58.02,0.11,0.13,13.00,53.55,45.75,58.02,0.07,0.13,14.00,52.58,44.39,56.54,0.01,0.12,14,50,43,56
ALGERIA,DZA,-1.27,0.22,5.00,12.50,6.22,20.57,-1.38,0.23,5.00,10.10,3.35,19.14,-1.21,0.21,6.00,12.98,6.70,22.49,-1.12,0.17,8.00,17.31,10.53,23.92,-1.14,0.16,9.00,17.31,10.05,24.40,-0.82,0.14,12.00,24.52,18.66,30.62,-0.76,0.14,13.00,26.44,19.62,30.14,-0.92,0.12,13.00,22.12,17.70,27.75,-1.00,0.11,14.00,19.71,13.40,25.36,-0.99,0.11,15.00,19.71,15.79,25.36,-1.06,0.11,15.00,17.06,12.74,25.00,-1.03,0.11,15.00,18.01,13.68,25.94,-1.02,0.12,14.00,17.84,13.55,26.17,-0.91,0.12,14,23,17,28
AMERICAN SAMOA,ASM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.47,0.39,1.00,63.46,43.54,84.69,0.64,0.42,1.00,69.23,47.85,89.95,0.58,0.51,1.00,66.83,39.23,95.22,1.01,0.53,1.00,79.81,53.59,100.00,1.00,0.53,1.00,80.29,53.59,100.00,1.00,0.52,1.00,77.25,54.25,100.00,1.02,0.49,1.00,79.15,55.66,100.00,1.04,0.46,1.00,79.81,56.54,100.00,1.06,0.44,1,82,58,100
ANDORRA,ADO,1.54,0.30,3.00,96.15,79.90,100.00,1.50,0.30,3.00,96.15,77.51,100.00,1.50,0.30,3.00,95.19,78.95,100.00,1.39,0.27,3.00,93.75,73.68,100.00,1.30,0.27,3.00,91.35,72.73,100.00,1.48,0.28,3.00,93.75,81.82,100.00,1.45,0.28,3.00,92.79,78.95,100.00,1.34,0.24,3.00,92.31,77.99,100.00,1.32,0.23,3.00,92.31,75.12,100.00,1.35,0.23,3.00,92.79,76.56,100.00,1.33,0.23,3.00,92.42,75.00,100.00,1.33,0.24,3.00,92.89,75.47,100.00,1.36,0.23,3.00,93.90,76.17,100.00,1.43,0.24,4,94,80,100
ANGOLA,AGO,-1.64,0.22,5.00,5.77,0.48,12.44,-1.44,0.23,5.00,8.65,2.87,16.75,-1.48,0.21,6.00,8.65,2.87,16.75,-1.24,0.17,8.00,12.50,8.13,20.57,-1.27,0.16,9.00,12.50,8.13,21.53,-1.28,0.15,11.00,12.98,7.18,19.14,-1.24,0.15,11.00,12.02,8.13,20.10,-1.24,0.12,13.00,12.02,8.61,18.66,-1.17,0.13,12.00,14.90,9.57,20.57,-1.13,0.12,13.00,16.35,10.53,21.53,-1.13,0.11,15.00,14.22,9.91,21.23,-1.12,0.11,16.00,14.69,12.26,22.17,-1.14,0.11,16.00,14.55,11.68,22.43,-1.08,0.12,15,17,12,23
ANGUILLA,AIA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.81,0.39,1.00,75.00,55.50,92.34,0.88,0.42,1.00,74.52,56.46,96.17,1.04,0.51,1.00,81.25,55.02,100.00,1.01,0.53,1.00,79.81,53.59,100.00,1.00,0.53,1.00,80.29,53.59,100.00,1.00,0.52,1.00,77.25,54.25,100.00,1.02,0.49,1.00,79.15,55.66,100.00,1.04,0.46,1.00,79.81,56.54,100.00,1.06,0.44,1,82,58,100
ANTIGUA AND BARBUDA,ATG,0.29,0.30,3.00,59.13,43.54,72.25,0.29,0.30,3.00,58.17,44.02,71.29,0.35,0.30,3.00,59.13,47.85,74.64,0.30,0.27,3.00,55.77,44.98,70.33,0.27,0.27,3.00,54.81,42.11,69.38,0.56,0.27,4.00,65.38,53.11,81.82,0.55,0.27,4.00,64.42,54.07,78.95,0.66,0.24,3.00,68.75,55.50,81.34,0.57,0.23,3.00,65.38,54.55,75.60,0.60,0.23,3.00,66.83,55.50,76.56,0.60,0.23,3.00,67.77,55.66,75.47,0.51,0.24,3.00,63.51,53.77,75.00,0.52,0.23,3.00,64.32,54.67,74.77,0.65,0.25,3,68,57,83
