,,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012
Country/Territory,WBCode,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
AFGHANISTAN,AFG,-1.85,0.56,1,0,0,17,-1.84,0.51,1,0,0,14,-1.91,0.50,1,0,0,8,-1.43,0.47,1,0,0,34,-1.55,0.31,2,2,0,11,-1.42,0.24,4,4,0,13,-1.46,0.22,4,1,0,14,-1.44,0.22,6,3,0,11,-1.59,0.25,5,1,0,9,-1.64,0.24,6,1,0,6,-1.51,0.22,7,1,0,10,-1.62,0.21,8,1,0,5,-1.55,0.20,8,1,0,8,-1.41,0.20,9,2,0,13
ALBANIA,ALB,-1.09,0.47,2,12,0,43,-1.01,0.28,4,14,2,35,-0.82,0.25,5,22,5,41,-0.86,0.23,5,26,4,38,-0.77,0.18,6,26,11,40,-0.67,0.17,8,27,16,44,-0.75,0.15,9,26,16,38,-0.81,0.15,11,22,12,35,-0.66,0.15,11,30,19,41,-0.55,0.14,11,35,23,47,-0.49,0.15,11,38,25,51,-0.49,0.14,11,37,27,50,-0.65,0.13,12,29,20,40,-0.72,0.13,12,27,19,39
ALGERIA,DZA,-0.48,0.30,3,33,17,61,-0.97,0.20,5,15,4,32,-0.95,0.24,5,14,4,33,-0.94,0.19,5,21,3,34,-0.67,0.19,7,30,14,46,-0.63,0.18,9,28,17,47,-0.42,0.18,9,41,29,52,-0.49,0.16,9,38,24,51,-0.52,0.16,10,36,22,51,-0.56,0.16,11,34,21,48,-0.55,0.18,11,34,22,51,-0.49,0.17,11,37,23,53,-0.56,0.17,11,35,21,50,-0.54,0.17,12,36,24,51
AMERICAN SAMOA,ASM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.78,0.39,1,77,60,92,0.80,0.32,1,78,63,89,0.33,0.42,1,68,44,82,0.34,0.41,1,69,46,82,0.36,0.40,1,67,47,82,0.38,0.42,1,70,48,83,0.37,0.43,1,68,46,83,0.36,0.40,1,68,47,80,0.35,0.42,1,68,47,81
ANDORRA,ADO,1.36,0.56,1,89,70,98,1.38,0.51,1,91,70,95,1.38,0.50,1,90,72,95,1.30,0.47,1,89,71,94,1.32,0.38,1,89,75,94,1.10,0.39,1,84,70,92,1.27,0.32,1,88,73,93,1.27,0.42,1,89,73,95,1.30,0.41,1,89,73,94,1.32,0.40,1,90,74,95,1.35,0.42,1,89,73,95,1.33,0.43,1,88,72,95,1.31,0.40,1,88,73,95,1.29,0.42,1,87,72,95
ANGOLA,AGO,-1.16,0.30,3,7,2,28,-1.32,0.20,5,2,2,15,-1.52,0.24,5,2,0,7,-1.14,0.19,5,8,0,27,-1.30,0.19,7,5,1,13,-1.28,0.18,9,7,1,16,-1.33,0.19,8,6,0,15,-1.23,0.17,10,8,2,17,-1.32,0.19,9,4,1,14,-1.28,0.19,10,5,1,16,-1.42,0.18,11,2,0,10,-1.32,0.17,12,4,1,15,-1.34,0.16,12,4,1,14,-1.29,0.17,11,5,0,17
ANGUILLA,AIA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.83,0.39,1,78,61,92,1.27,0.32,1,88,73,93,1.27,0.42,1,89,73,95,1.30,0.41,1,89,73,94,1.32,0.40,1,90,74,95,1.35,0.42,1,89,73,95,1.33,0.43,1,88,72,95,1.31,0.40,1,88,73,95,1.29,0.42,1,87,72,95
ANTIGUA AND BARBUDA,ATG,0.90,0.56,1,82,61,93,0.92,0.51,1,82,62,93,0.91,0.50,1,83,63,93,0.85,0.47,1,82,61,92,0.83,0.38,1,80,61,91,0.84,0.37,2,79,62,92,0.77,0.31,2,74,62,88,1.27,0.42,1,89,73,95,1.30,0.41,1,89,73,94,1.32,0.40,1,90,74,95,1.35,0.42,1,89,73,95,1.33,0.43,1,88,72,95,1.31,0.40,1,88,73,95,1.29,0.42,1,87,72,95
