,,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012
Country/Territory,WBCode,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
AFGHANISTAN,AFG,-2.25,0.31,1,0,0,2,-2.24,0.34,1,0,0,3,-2.32,0.37,1,0,0,3,-1.64,0.28,2,2,0,9,-1.18,0.32,2,9,1,29,-0.88,0.24,4,17,7,37,-1.23,0.23,4,10,2,22,-1.49,0.24,6,4,0,14,-1.40,0.29,5,5,1,16,-1.48,0.26,6,4,1,14,-1.50,0.24,7,4,0,11,-1.47,0.23,7,4,1,14,-1.46,0.23,7,5,1,14,-1.40,0.22,8,7,1,15
ALBANIA,ALB,-0.80,0.29,2,22,7,44,-0.69,0.25,3,25,11,46,-0.83,0.25,4,20,8,41,-0.57,0.23,5,33,16,49,-0.61,0.24,5,31,14,49,-0.44,0.24,6,40,19,57,-0.63,0.20,7,31,17,45,-0.46,0.18,9,39,27,51,-0.38,0.20,9,42,27,53,-0.35,0.20,9,44,29,56,-0.24,0.20,9,48,37,58,-0.27,0.20,9,45,32,57,-0.20,0.20,9,48,37,60,-0.28,0.20,9,45,31,58
ALGERIA,DZA,-0.95,0.25,3,16,6,33,-0.81,0.20,5,20,10,35,-0.96,0.21,5,14,7,30,-0.61,0.19,6,31,17,45,-0.61,0.17,7,30,17,44,-0.52,0.17,8,35,21,48,-0.44,0.17,8,39,27,50,-0.52,0.18,9,36,23,46,-0.60,0.19,9,30,16,46,-0.61,0.19,9,32,17,46,-0.58,0.19,9,36,20,48,-0.48,0.19,9,39,24,50,-0.58,0.19,9,35,18,46,-0.55,0.19,9,34,21,46
AMERICAN SAMOA,ASM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.20,0.42,1,49,16,71,0.19,0.32,1,62,44,72,0.20,0.41,1,62,37,78,0.46,0.47,1,68,46,84,0.48,0.45,1,68,46,85,0.49,0.42,1,69,49,84,0.49,0.44,1,69,47,84,0.48,0.42,1,68,48,83,0.48,0.39,1,68,48,83
ANDORRA,ADO,1.44,0.31,1,90,81,97,1.43,0.34,1,89,79,96,1.41,0.37,1,89,79,98,1.37,0.32,1,89,79,95,1.30,0.38,1,89,73,96,1.40,0.42,1,89,75,97,1.25,0.32,1,88,74,96,1.52,0.41,1,89,77,100,1.50,0.47,1,90,77,99,1.53,0.45,1,91,77,100,1.52,0.42,1,92,76,99,1.51,0.44,1,90,75,99,1.50,0.42,1,91,75,100,1.52,0.39,1,91,76,100
ANGOLA,AGO,-0.84,0.25,3,20,7,37,-1.36,0.20,5,5,3,14,-1.46,0.21,5,3,3,10,-1.25,0.19,6,8,4,16,-1.14,0.17,7,10,5,19,-1.28,0.17,8,7,5,13,-1.17,0.19,7,11,4,22,-1.37,0.17,9,6,2,14,-1.24,0.21,8,9,3,17,-1.07,0.20,8,14,6,25,-0.97,0.20,9,16,7,30,-1.13,0.19,10,12,5,23,-1.15,0.18,10,11,5,21,-1.02,0.19,9,15,7,28
ANGUILLA,AIA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.97,0.42,1,81,67,91,1.52,0.32,1,90,82,99,1.52,0.41,1,89,77,100,1.50,0.47,1,90,77,99,1.53,0.45,1,91,77,100,1.52,0.42,1,92,76,99,1.51,0.44,1,90,75,99,1.50,0.42,1,91,75,100,1.52,0.39,1,91,76,100
ANTIGUA AND BARBUDA,ATG,0.65,0.31,1,76,60,85,0.65,0.34,1,76,59,87,0.61,0.37,1,74,56,87,0.56,0.32,1,72,58,84,0.52,0.38,1,70,54,84,0.45,0.38,2,69,50,83,0.41,0.31,2,65,53,78,0.47,0.41,1,68,49,84,0.46,0.47,1,68,46,84,0.48,0.45,1,68,46,85,0.49,0.42,1,69,49,84,0.49,0.44,1,69,47,84,0.48,0.42,1,68,48,83,0.48,0.39,1,68,48,83
