,,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012
Country/Territory,WBCode,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
AFGHANISTAN,AFG,-2.13,0.48,1,1,0,9,-2.16,0.49,1,2,0,8,-2.19,0.45,1,1,0,8,-1.87,0.31,2,3,0,8,-1.49,0.25,2,5,3,16,-1.50,0.23,4,5,3,12,-1.65,0.20,4,3,2,10,-1.67,0.22,5,3,2,9,-1.68,0.24,4,3,3,9,-1.60,0.21,5,3,3,8,-1.67,0.19,6,3,3,6,-1.53,0.19,6,5,3,9,-1.54,0.18,6,4,3,9,-1.21,0.18,8,11,5,21
ALBANIA,ALB,-0.42,0.37,4,34,18,58,-0.19,0.31,5,44,23,62,-0.26,0.28,6,39,22,58,-0.25,0.23,7,44,27,57,-0.47,0.19,7,36,20,49,-0.16,0.19,8,49,34,60,-0.30,0.18,9,46,27,54,-0.09,0.18,10,51,40,58,0.07,0.18,10,56,48,63,0.15,0.18,10,55,51,63,0.25,0.17,10,58,53,68,0.23,0.16,10,57,52,69,0.24,0.16,11,57,53,69,0.17,0.17,11,56,49,67
ALGERIA,DZA,-0.77,0.32,4,23,9,41,-0.72,0.27,6,23,14,37,-0.69,0.24,6,23,14,38,-0.59,0.21,7,29,19,44,-0.55,0.18,8,30,20,46,-0.54,0.17,9,30,20,46,-0.43,0.17,9,38,24,50,-0.58,0.17,9,30,20,45,-0.62,0.17,9,27,18,42,-0.79,0.18,9,22,15,33,-1.07,0.17,9,13,6,24,-1.17,0.17,9,11,6,21,-1.19,0.17,9,10,7,22,-1.29,0.19,9,9,4,18
AMERICAN SAMOA,ASM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.47,0.33,1,66,52,79,0.36,0.25,1,63,53,72,0.35,0.32,1,63,49,77,0.36,0.37,1,63,46,80,0.37,0.39,1,63,46,80,0.38,0.44,1,64,40,83,0.38,0.48,1,64,37,84,0.38,0.49,1,63,36,85,0.36,0.52,1,62,33,86
ANDORRA,ADO,1.24,0.48,1,88,65,100,1.26,0.49,1,90,67,100,1.23,0.45,1,89,67,99,1.42,0.38,1,91,75,100,1.39,0.29,1,91,77,100,1.38,0.33,1,89,77,100,1.35,0.25,1,90,77,99,1.34,0.32,1,91,73,100,1.36,0.37,1,90,72,100,1.38,0.39,1,90,74,100,1.38,0.44,1,90,72,100,1.37,0.48,1,89,70,100,1.60,0.49,1,94,76,100,1.55,0.52,1,94,74,100
ANGOLA,AGO,-1.46,0.32,4,8,2,20,-1.72,0.27,6,6,2,11,-1.83,0.26,5,4,0,9,-1.49,0.22,6,7,3,14,-1.23,0.18,7,11,4,18,-1.25,0.18,8,10,5,17,-1.29,0.17,8,10,4,17,-1.14,0.18,9,14,7,21,-1.04,0.18,8,17,7,22,-1.06,0.18,8,16,7,23,-1.02,0.17,9,16,6,25,-1.02,0.16,10,16,8,25,-1.08,0.16,10,14,8,22,-0.98,0.18,9,19,10,28
ANGUILLA,AIA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.87,0.33,1,78,65,89,1.10,0.25,1,82,70,92,1.34,0.32,1,91,73,100,1.36,0.37,1,90,72,100,1.38,0.39,1,90,74,100,1.38,0.44,1,90,72,100,1.37,0.48,1,89,70,100,1.35,0.49,1,90,71,100,1.31,0.52,1,89,67,100
ANTIGUA AND BARBUDA,ATG,0.76,0.48,1,75,50,95,0.77,0.49,1,75,52,95,0.74,0.45,1,77,54,93,0.68,0.38,1,71,57,88,0.65,0.29,1,70,57,82,0.55,0.30,2,69,56,80,0.56,0.25,2,66,57,78,0.60,0.32,1,70,55,84,0.61,0.37,1,69,54,86,0.62,0.39,1,71,54,87,0.63,0.44,1,72,51,88,0.63,0.48,1,73,47,90,0.62,0.49,1,73,47,91,0.59,0.52,1,72,43,91
