,,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012
Country/Territory,WBCode,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
AFGHANISTAN,AFG,-1.76,0.37,2,2,0,14,-1.74,0.34,2.00,1.91,0.48,11.90,-1.77,0.28,2.00,1.44,0.48,10.00,-1.77,0.31,3.00,1.44,0.00,9.52,-1.67,0.30,3.00,2.39,0.00,13.33,-1.71,0.22,5.00,1.91,0.48,7.62,-1.72,0.21,6.00,1.44,0.48,7.62,-1.96,0.20,8.00,0.48,0.48,1.90,-1.92,0.26,7.00,0.48,0.48,3.81,-1.95,0.22,8.00,0.48,0.48,2.87,-1.91,0.18,9.00,0.47,0.47,2.36,-1.90,0.18,9.00,0.47,0.47,2.83,-1.93,0.17,9.00,0.47,0.47,1.87,-1.72,0.17,10,0,0,4
ALBANIA,ALB,-0.93,0.26,5,20,9,33,-1.20,0.25,6.00,11.00,4.29,23.81,-1.24,0.21,8.00,10.53,2.86,22.86,-0.92,0.21,9.00,21.05,9.52,33.81,-0.88,0.20,9.00,21.53,11.90,34.29,-0.76,0.18,10.00,26.32,15.24,38.10,-0.81,0.18,11.00,25.84,14.29,36.67,-0.73,0.15,13.00,27.75,17.14,40.00,-0.70,0.15,13.00,27.75,18.10,41.43,-0.64,0.15,13.00,32.69,20.57,41.63,-0.53,0.14,13.00,36.49,25.47,45.75,-0.44,0.14,14.00,40.76,30.66,48.58,-0.49,0.13,15.00,38.97,29.91,47.66,-0.57,0.13,15,35,27,45
ALGERIA,DZA,-1.19,0.21,5,11,5,25,-1.18,0.21,7.00,11.96,5.24,22.38,-1.17,0.17,7.00,12.44,4.76,24.76,-0.59,0.18,8.00,33.49,23.33,45.24,-0.54,0.18,9.00,34.45,23.81,44.29,-0.55,0.16,12.00,35.41,21.90,44.29,-0.70,0.16,12.00,30.62,18.57,40.00,-0.64,0.15,13.00,30.14,20.95,44.29,-0.71,0.15,14.00,26.79,18.10,39.52,-0.71,0.15,14.00,27.88,20.10,38.28,-0.76,0.14,14.00,26.07,17.45,36.79,-0.75,0.14,14.00,27.01,17.92,35.38,-0.82,0.13,14.00,24.41,15.42,32.24,-0.79,0.14,14,26,17,35
AMERICAN SAMOA,ASM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.85,0.34,1.00,76.08,60.00,90.95,1.14,0.35,1.00,86.12,65.24,94.76,1.13,0.39,1.00,87.56,63.81,95.71,1.15,0.37,1.00,86.60,65.71,95.24,1.16,0.34,1.00,85.10,68.42,94.26,1.17,0.38,1.00,86.26,65.57,96.23,1.16,0.41,1.00,85.78,65.09,97.17,1.13,0.41,1.00,84.98,63.55,97.20,1.14,0.40,1,86,66,96
ANDORRA,ADO,1.20,0.37,2,88,65,98,1.27,0.34,2.00,89.00,71.90,97.14,1.34,0.28,2.00,89.47,78.57,96.67,1.28,0.34,2.00,87.56,71.90,96.19,1.07,0.32,2.00,83.25,64.76,92.86,1.22,0.32,2.00,87.08,70.95,94.76,1.02,0.33,2.00,83.25,62.86,91.90,0.94,0.35,2.00,78.47,60.95,90.48,1.22,0.34,2.00,87.08,70.00,95.71,1.22,0.32,2.00,87.50,70.81,94.74,1.25,0.35,2.00,87.20,68.87,97.64,1.23,0.37,2.00,87.20,66.98,97.64,1.43,0.37,2.00,89.67,73.83,100.00,1.43,0.36,2,90,74,100
ANGOLA,AGO,-1.63,0.21,5,5,1,10,-1.70,0.21,7.00,2.87,1.90,8.10,-1.63,0.18,7.00,1.91,1.43,8.57,-1.61,0.19,8.00,2.87,0.00,8.57,-1.53,0.19,9.00,5.26,0.95,11.43,-1.46,0.17,11.00,5.74,1.90,11.90,-1.44,0.17,11.00,6.22,1.90,12.86,-1.30,0.16,13.00,8.13,2.86,14.29,-1.40,0.17,12.00,6.22,1.90,12.38,-1.40,0.16,13.00,6.73,1.91,11.48,-1.24,0.15,14.00,9.48,3.77,16.98,-1.26,0.14,15.00,9.00,3.77,15.57,-1.25,0.13,15.00,8.92,3.27,15.42,-1.28,0.14,14,7,3,16
ANGUILLA,AIA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.16,0.34,1.00,86.12,68.57,94.29,1.67,0.35,1.00,94.26,84.29,100.00,1.65,0.39,1.00,92.82,82.38,100.00,1.69,0.37,1.00,93.30,83.81,100.00,1.71,0.34,1.00,93.75,83.73,100.00,1.44,0.38,1.00,90.05,73.58,100.00,1.42,0.41,1.00,89.57,72.17,100.00,1.39,0.41,1.00,88.73,70.56,100.00,1.40,0.40,1,89,72,100
ANTIGUA AND BARBUDA,ATG,1.01,0.37,2,83,61,95,1.05,0.34,2.00,83.25,66.19,93.33,1.01,0.28,2.00,83.25,65.24,91.43,1.02,0.34,2.00,82.30,63.33,92.86,1.00,0.32,2.00,81.82,62.86,91.43,0.91,0.31,3.00,78.95,62.38,90.95,0.68,0.32,3.00,69.38,57.14,87.14,1.00,0.35,2.00,82.30,62.86,91.90,0.98,0.34,2.00,82.30,61.43,90.95,0.97,0.32,3.00,81.73,63.16,90.91,1.00,0.34,3.00,81.99,62.74,91.04,0.99,0.36,3.00,81.04,63.21,91.04,0.97,0.36,3.00,79.81,62.15,90.65,0.97,0.35,3,80,64,90
